fire_id,on_disk_tif_count,dated_scene_count,usable_dated_scene_count,on_disk_kmz_count,aligned_tif_count,mask_tif_count,tree_fingerprint,trees_present
tobarra_20240802,138,35,35,2,68,69,cf8185b19ae1f22e31612818b41bd0563ca834ae66a0aff13c160214965ba091,artifacts/aligned_spatial_v1/tobarra_20240802;artifacts/tobarra_reprojected_lwir;artifacts/tobarra_lwir_masks;data/real_if/pablo_geacam_20260730_tobarra
cardoso_2025,488,85,85,146,178,168,a6708e6d9718dcadd21b5c44dca136b8dac5b1ca4981161bab2d381db3608093,artifacts/aligned_spatial_v1/CARDOSO;artifacts/aligned_spatial_v1/cardoso_2025_extra_reproj;artifacts/cardoso_2025_reprojected_lwir;artifacts/cardoso_2025_lwir_masks;data/real_if/raw_dropbox/organized/CARDOSO
hellin_2024,152,36,36,88,30,31,f1a30928af05992e7e38e48cdc5e054436514a0f3e26c8b6c5742805a1ca831c,artifacts/aligned_spatial_v1/hellin_2024;artifacts/hellin_2024_reprojected_lwir;artifacts/hellin_2024_lwir_masks;data/real_if/raw_dropbox/organized/HELLIN20240719
la_estrella_acom1_2024,1065,199,199,361,324,343,ff6aeeeed579964ae6d3e1b168e2d46b0e6bc827010af25d918eaf368de427c1,artifacts/aligned_spatial_v1/LA_ESTRELLA_ACOM1;artifacts/la_estrella_acom1_2024_reprojected_lwir;artifacts/la_estrella_acom1_2024_lwir_masks;data/real_if/raw_dropbox/organized/LA_ESTRELLA_ACOM1
retuerta_2025,48,10,10,16,14,15,380b5a4dc3bafd7e4584a71893a9d36a10b120043996f740c60e9707966ef257,artifacts/aligned_spatial_v1/retuerta_2025;artifacts/retuerta_2025_reprojected_lwir;artifacts/retuerta_2025_lwir_masks;data/real_if/raw_dropbox/organized/04_09_2025_IF.RETUERTA
la_estrella_acom2_2024,236,67,67,128,26,30,57403250742a718ba147308f83038a04c7e7528c2582e669818bd03a3ad69270,artifacts/aligned_spatial_v1/LA_ESTRELLA_ACOM2;artifacts/la_estrella_acom2_2024_reprojected_lwir;artifacts/la_estrella_acom2_2024_lwir_masks;data/real_if/raw_dropbox/organized/LA_ESTRELLA_ACOM2
brazatortas_2025,57,16,16,19,14,15,689266672256005b4861eeb1936ba7feec3abe0680107e5a8058a0d85c769b9f,artifacts/aligned_spatial_v1/brazatortas_2025;artifacts/brazatortas_2025_reprojected_lwir;artifacts/brazatortas_2025_lwir_masks;data/real_if/raw_dropbox/organized/05_10_2025_IF.BRAZATORTAS
polan_2025,14,9,1,13,0,0,0bb776fd368f89be69a3e9c56803916baa99892f8a4be43a5e8bd7fa0d1247ad,artifacts/polan_2025_reprojected_lwir;artifacts/polan_2025_lwir_masks;data/real_if/raw_dropbox/organized/13_09_2025_IF.POLAN
AU_EMSR408_NSW,7,7,0,0,0,0,216b8a404be356b3d32b81e0774f59a82dc7163237c1c6615bed44c1e50494b9,data/open_if/latam_au/au/AU_EMSR408_NSW
AU_EMSR500_PERTH,20,6,0,0,0,0,73f4c652449f7c5cbaab2059f5afbd0f9ba8d65982184e2210b1845d54999661,data/open_if/latam_au/au/AU_EMSR500_PERTH
AU_NAFI_NT_SEASON_2023,9,6,0,0,0,0,1e3353c9f4abf20780a418ed20cd4357baaca7aa765b8abb0a7912b74fefc008,data/open_if/latam_au/au/AU_NAFI_NT_SEASON_2023
BR_PANTANAL_2020_MAPBIOMAS,9,6,0,0,0,0,0495ead3ecfd07c96454085d722388b106268e4057f8693444e367a22f8a5855,data/open_if/latam_au/br/BR_PANTANAL_2020_MAPBIOMAS
CL_EMSR647_NACIMIENTO,20,6,0,0,0,0,7adbf6e19b3497570792194c2f5be242f8016ed85a08170f5879070f7aa70738,data/open_if/latam_au/cl/CL_EMSR647_NACIMIENTO
CL_EMSR715_VALPARAISO,6,6,0,0,0,0,9e709054759228b1695d04aca44726307b6e3ff16ca187f3ced5240a4b9dcfaf,data/open_if/latam_au/cl/CL_EMSR715_VALPARAISO
pt_firesprd,0,0,0,0,0,0,1c194bfd12e9955896d69724a04049270009a5afe3477584e642b2688118417e,data/external/pt_firesprd
extremadura_rai_2025,0,0,0,0,0,0,e48fc58fd790ad8add98bc7c37b64bc86bdb500f8d9244df8deddd588ca60602,data/open_if/extremadura_rai_2025
